id,name,url,category,price,reasons
97,Смаженка с колбасой замороженная 250 г,https://edostavka.by/product/1981092,Еда от Шефа,5.49,Комплексная пищевая добавка
100,"Салат Винегрет Овощной, 500 г",https://edostavka.by/product/2142151,Еда от Шефа,9.19,Комплексная пищевая добавка
103,"Котлеты  рубленые из птицы  замороженные, 600 г",https://edostavka.by/product/1408012,Еда от Шефа,12.69,Комплексная пищевая добавка
104,"Суп-пюре из чечевицы с моцареллой, замороженный, 260 г  ",https://edostavka.by/product/2222911,Еда от Шефа,4.19,Комплексная пищевая добавка
106,Рассольник Ленинградский с филе цыпленка замороженный  600 г,https://edostavka.by/product/1983559,Еда от Шефа,8.79,Комплексная пищевая добавка
107,Изделие кулинарное готовое желированное Заливное с цыпленком 270 г,https://edostavka.by/product/2204612,Еда от Шефа,6.49,Комплексная пищевая добавка
108,"Салат Итальянский с пастой, курицей и грибным соусом, охлажденный, 230 г",https://edostavka.by/product/2175260,Еда от Шефа,7.85,Комплексная пищевая добавка
111,"Колбаски Премьер охлажденный, 1 кг",https://edostavka.by/product/2164525,Еда от Шефа,21.09,Комплексная пищевая добавка
112,Заливное с языком 270 г,https://edostavka.by/product/2204613,Еда от Шефа,10.79,Комплексная пищевая добавка
114,Багет пшенично-ржаной 200 г,https://edostavka.by/product/2103642,Еда от Шефа,3.99,Улучшитель хлебобулочный; Комплексная пищевая добавка
115,Солянка сборная мясная замороженная 250 г,https://edostavka.by/product/1058186,Еда от Шефа,5.99,Комплексная пищевая добавка
119,"Тефтели из цыпленка в овощном соусе с картофельным пюре, замороженные, 300 г    ",https://edostavka.by/product/2222917,Еда от Шефа,8.29,Комплексная пищевая добавка
120,Пицца римская Пепперони замороженная 420 г    ,https://edostavka.by/product/2281758,Еда от Шефа,13.69,Комплексная пищевая добавка
122," Отбивные из птицы Рябушка охлажденные, 400 г",https://edostavka.by/product/2065346,Еда от Шефа,7.99,Комплексная пищевая добавка
123,Булочки Малинка 200 г,https://edostavka.by/product/2229032,Еда от Шефа,2.29,Комплексная пищевая добавка; Улучшитель хлебобулочный
125,"Фарш из филе цыпленка-бройлера и свинины Панский охлажденный, 500 г",https://edostavka.by/product/2057072,Еда от Шефа,12.69,Комплексная пищевая добавка
126,"Голубцы с куриной грудкой, замороженные, 1/1000",https://edostavka.by/product/832770,Еда от Шефа,17.49,Комплексная пищевая добавка
127,Котлета из птицы паровая с отварным рисом  замороженная 280 г,https://edostavka.by/product/1098561,Еда от Шефа,7.19,Комплексная пищевая добавка
128,Суп перловый с грибами замороженный 600 г,https://edostavka.by/product/1983563,Еда от Шефа,6.19,Комплексная пищевая добавка
130,"Круассан с начинкой со вкусом фисташки, 65 г                ",https://edostavka.by/product/2245783,Еда от Шефа,1.99,Комплексная пищевая добавка
131,Салат Капуста аппетитная по-слуцки 500 г,https://edostavka.by/product/2128741,Еда от Шефа,5.69,Комплексная пищевая добавка
133,"Салат Куриный с медово-горчичной заправкой, охлажденный,  230 г",https://edostavka.by/product/1464241,Еда от Шефа,7.45,Комплексная пищевая добавка
134,"Десерт Моти манго, маракуйя, дор блю,  210 г",https://edostavka.by/product/2266451,Еда от Шефа,10.99,Комплексная пищевая добавка; Пищевая добавка (неуточнённая)
135,Тефтели из индейки в сливочном соусе с гречневой кашей замороженные 320 г,https://edostavka.by/product/1098600,Еда от Шефа,10.89,Комплексная пищевая добавка
137,"Голубцы с куриной грудкой готовые, замороженные, 520 г ",https://edostavka.by/product/1815320,Еда от Шефа,14.29,Комплексная пищевая добавка
144,Котлеты из птицы с овощами замороженные 600 г,https://edostavka.by/product/1847098,Еда от Шефа,12.99,Комплексная пищевая добавка
145,Бульон куриный от Шефа  замороженный 600 г,https://edostavka.by/product/1983558,Еда от Шефа,7.09,Комплексная пищевая добавка
146,"Суп-пюре из шпината и филе цыпленка, замороженный, 250 г",https://edostavka.by/product/2074770,Еда от Шефа,5.89,Комплексная пищевая добавка
151,Драники по-домашнему с курицей замороженные 600 г,https://edostavka.by/product/1981087,Еда от Шефа,17.09,Комплексная пищевая добавка
153,"Суп Норвежский с красной рыбой замороженный,  250 г",https://edostavka.by/product/2074394,Еда от Шефа,8.69,Комплексная пищевая добавка
158,Котлета По-киевски с картофельным пюре замороженная 275 г,https://edostavka.by/product/982718,Еда от Шефа,9.39,Комплексная пищевая добавка
160,"Изделие кулинарное Салат Из капусты со свежим огурцом и зеленью, 500 г",https://edostavka.by/product/2143958,Еда от Шефа,5.49,Комплексная пищевая добавка
161,"Борщ Food с мясом охлажденный, 300 г",https://edostavka.by/product/1376897,Еда от Шефа,5.79,Комплексная пищевая добавка
163,"Зразы рыбные с яйцом замороженные, 600 г",https://edostavka.by/product/2089644,Еда от Шефа,15.79,Комплексная пищевая добавка
165,"Котлеты ""По-Киевски"" замороженные 375 г",https://edostavka.by/product/1971976,Еда от Шефа,19.69,Комплексная пищевая добавка
166,Круассан с начинкой со вкусом миндаля 65 г                ,https://edostavka.by/product/2245782,Еда от Шефа,2.19,Комплексная пищевая добавка
169,"Лепешки роти Карбонара с грибами замороженые, 170г",https://edostavka.by/product/2210138,Еда от Шефа,7.89,Комплексная пищевая добавка; Пищевая добавка (неуточнённая)
171,"Плов со свининой от Шефа замороженный, 500 г",https://edostavka.by/product/1798677,Еда от Шефа,13.29,Комплексная пищевая добавка
173,"Мясо по-французски с печёным картофелем и грибами, охлажденное, 250 г",https://edostavka.by/product/2196262,Еда от Шефа,10.25,Комплексная пищевая добавка
174,"Тефтели из цыпленка Нежные замороженные, 600 г",https://edostavka.by/product/2219834,Еда от Шефа,14.19,Комплексная пищевая добавка
175,"Оладьи из печени Food&Go с картофельным пюре, охлажденные, 250 г",https://edostavka.by/product/2067651,Еда от Шефа,6.15,Комплексная пищевая добавка
176,"Котлеты из птицы, паровые, замороженные, 390 г  ",https://edostavka.by/product/2169650,Еда от Шефа,16.59,Комплексная пищевая добавка
183,"Биточки из филе  минтая с овощами замороженные, 600 г",https://edostavka.by/product/2089641,Еда от Шефа,16.29,Комплексная пищевая добавка
184,"Купаты из свинины Домашние охлажденный, 1 кг",https://edostavka.by/product/2164526,Еда от Шефа,18.99,Комплексная пищевая добавка
186,"Голубцы со свининой и говядиной замороженные, 1000",https://edostavka.by/product/832772,Еда от Шефа,17.99,Комплексная пищевая добавка
187,"Котлета из цыпленка-бройллера  с маслом  и жаренным  картофелем, охлажденная, 250 г",https://edostavka.by/product/2095545,Еда от Шефа,8.69,Комплексная пищевая добавка
189,Блинчики с субпродуктами замороженные 540 г,https://edostavka.by/product/1504809,Еда от Шефа,13.89,Комплексная пищевая добавка
190,"Хот-дог Датский с маринованным огурчиком и горчицей, охлажденный, 135 г",https://edostavka.by/product/2201016,Еда от Шефа,3.95,Комплексная пищевая добавка
195,"Хот-дог по-корейски с пряной морковью и жареным луком, охлажденный, 135 г",https://edostavka.by/product/2201018,Еда от Шефа,3.75,Комплексная пищевая добавка
196,"Фишболы со сливочным сыром и шпинатом замороженные, 310 г",https://edostavka.by/product/2089660,Еда от Шефа,11.89,Комплексная пищевая добавка
199,Жульен из цыпленка 210 г,https://edostavka.by/product/2235829,Еда от Шефа,9.09,Комплексная пищевая добавка
201,"Котлеты из минтая с кальмаром замороженные, 410г",https://edostavka.by/product/2089646,Еда от Шефа,14.29,Комплексная пищевая добавка
